,Nombre del Producto,Precio
0,Freidora De Aire Electrica Airfryer Sin Aceite (Ultimas Unidades),"$187.894,73"
1,Termo Stanley Adventure 1 L Pico Cebador Edición Especial,"$159.999,00"
2,Anafe eléctrico negro 220V,"$70.375,00"
3,"Smartwatch Kieslect Kr 1.32″ caja negra, malla negra y bisel negro","$80.750,00"
4,Colchoneta Inflable Bestway Loro Gigante (Varios Modelos),"$79.000,00"
5,Pincel Aplicador De Base Foundation Brush Palladio,"$38.850,00"
6,Kit Flash Estudio Vl 200w Visico Sombrilla Pie Emisor Remoto,"$295.229,59"
7,Cepillo Limpiador Facial Cutis 5 En 1 Exfoliador Masajeador,"$16.851,90"
8,Limador de uñas electrico recargable USB portatil NEGRO,"$35.086,52"
9,Canasto Cartera Mujer Trendy Viajes Playa Rafia Resistente,"$45.316,46"
10,Juego Set Cubiertos X18 Acero Inoxidable Completo Colores,"$38.664,25"
11,Kit Pinceles + Stamping + Limas + 3x Esmaltes Semi Meliné,"$39.333,32"
12,Pava Eléctrica Atma Pe1821ap2 1.7lts Selector De Temperatura,"$59.000,00"
13,Luces Led Guirnalda Fairy Rgb App Alexa Google 5mt Exterior,"$59.333,32"
14,Pista De Autos Metal Machine Shark Attack Zuru Nene + Auto,"$54.166,67"
15,Stereo Auto Doble Din Pantalla Tactil Mirrorlink Camara Rev,"$172.500,00"
16,Fluido Nutritivo Moisture X125ml Semi Di Lino Alfaparf,"$29.000,00"
17,Acolchado 1 Plaza Y Media Edredon Reversible Liso Abrigado (Color segun stock),"$80.000,00"
18,Abono MeliDrop – Mercado Libre,"$6.900,00"
19,Cuadro Arbol De La Vida Color 4 Estaciones Año Poliptico,"$36.999,00"
20,Pistola Masajeadora Muscular Rehabilitación Profesional 2vel,"$61.168,55"
21,Samsung Galaxy A03 32 GB azul 3 GB RAM,"$195.690,00"
22,Tensiómetro Medidor Digital Presión Arterial Muñeca Medida,"$69.136,00"
23,Samsung Galaxy S20 FE 5G 128 GB cloud navy 6 GB RAM,"$600.300,00"
24,Reloj Inteligente Smartwatch Pro Ios Android Serie7 New,"$43.016,67"
25,Escurreplatos Secaplatos Acero Pintado Bandeja Cubiertero,"$42.233,32"
26,Parlante Noga One Light con bluetooth negro,"$50.000,00"
27,Comedero Bebedero Animal Pet Plegable De Silicona Small (Color segun stock),"$17.249,20"
28,"Ventilador de pared y de piso negro con 5 palas de plástico, 12″ de diámetro 220 V","$81.500,00"
29,Barra Magnética 55Cm Porta Cuchillos Utensilios Herramientas,"$15.123,50"
30,"Notebook Dell Inspiron 5502 plata 15.55″, Intel Core i5 1135G7 12GB de RAM 256GB SSD, Intel Iris Xe Graphics G7 80EUs 60 Hz 1920x1080px Windows 10 Home","$3.596.459,56"
31,Comedero Bebedero Plato Acer Inoxidable Grande Para Mascotas – Liquidacion,"$14.889,22"
32,Body Splash Natural Spirit Summer Crush 250 Ml,"$26.744,43"
33,Termometro Digital Lcd Bipper Niños Adultos,"$19.444,50"
34,Tocadiscos Vinilo Bluetooth Vintage Parlante,"$190.999,00"
35,"Monopatin 3 En 1, Con Asiento Desmontable Con 3 Alturas","$99.000,00"
36,Auriculares Qcy Pro Manos Libres Bluetooth Samsung LG Sony,"$38.222,22"
37,"Reloj pulsera de cuerpo color negro, analógico, fondo negro, con correa de acero color negro","$30.208,32"
38,Juego Set Cubiertos X24 Acero Inoxidable Completo Colores,"$69.999,00"
39,Cortadora de pelo Wahl Professional Pro Basic blanca 220V,"$132.293,80"
